OBJECTID,Borough,Block,Lot,DESIG_ADDRESS,BBL,LM_NAME,LP_NUMBER,SITE_DESC,SITE_STATUS,LM_NAME2,DESIG_DATE,LM_TYPE,REPORT_URL,CD,Council,Latitude,Longitude,BCT2020,NTA2020,Shape_Leng,Shape_Area,Category,Neighborhood,Popularity_Tier
1462,BK,3964,8,Empire State Dairy Company Buildings,3039640008,Empire State Dairy Company Buildings,LP-02575,"Borough of Brooklyn, Tax Map 3964, Lot 8 in part.",Designated,,12/5/2017,Individual Landmark,,305,37,40.6764036,-73.8889353,3119800,BK0502,551.5186728,14486.44328,Commercial,Park Slope,Tier 4: Neighborhood Staple
1229,MN,1,101,Liberty Island,1000010101,Statue of Liberty,LP-00931,"Borough of Manhattan Tax Map Block 1, Lot 101 in part.",Designated,,9/14/1976,Individual Landmark,,101,1,40.6899196,-74.0453371,1000100,MN0191,1196.335576,60488.72927,Other,Upper East Side,Tier 1: Global Icon
1187,MN,1111,1,Fifth Avenue and East 82nd Street,1011110001,Metropolitan Museum of Art,LP-00410,"Borough of Manhattan Tax Map Block 1111, Lot 1 in part, consisting of the land on which the described buildings are situated.",Designated,,6/9/1967,Individual Landmark,,164,4,40.7824929,-73.9655482,1012200,MN6491,3903.193528,487372.4787,Public/Civic,Hell's Kitchen,Tier 1: Global Icon
1086,BX,3120,20,"New York Zoological Park, inside East Fordham Road",2031200020,"Rockefeller Fountain, New York Zoological Park",LP-00109,"Borough of The Bronx Tax Map Block 3120, Lot 20 in part, consisting of the land on which the described improvement is situated.",Designated,,2/20/1968,Individual Landmark,,227,15,40.8499951,-73.8783005,2033400,BX2791,177.0011897,2486.784182,Public/Civic,Riverdale,Tier 2: National Draw
795,MN,1297,23,405 Lexington Avenue,1012970023,Chrysler Building,LP-00992,"Borough of Manhattan Tax Map Block 1297, Lot 23.",Designated,,9/12/1978,Individual Landmark,,106,4,40.7516363,-73.9753741,1009200,MN0604,792.4427191,38952.08171,Commercial,Tribeca,Tier 1: Global Icon
794,MN,1325,34,242 East 52nd Street,1013250034,Rockefeller Guest House,LP-02079,"Borough of Manhattan Tax Map Block 1325, Lot 34.",Designated,,12/5/2000,Individual Landmark,,106,4,40.7562211,-73.9684205,1009800,MN0604,254.0353975,2492.076967,Residential,Upper East Side,Tier 5: Ultra Niche / Insider Knowledge
705,MN,1270,20,17 West 54th Street and 24 West 55th Street,1012700020,Rockefeller Apartments,LP-01276,"Borough of Manhattan Tax Map Block 1270, Lot 20.",Designated,,6/19/1984,Individual Landmark,,105,4,40.7619348,-73.9765327,1010400,MN0502,689.1229452,27416.66924,Residential,Hell's Kitchen,Tier 5: Ultra Niche / Insider Knowledge
565,MN,1209,31,354 Central Park West,1012090031,354 Central Park West House,LP-01644,"Borough of Manhattan Tax Map Block 1209, Lot 31.",Designated,,11/10/1987,Individual Landmark,,107,6,40.7913308,-73.9652294,1018100,MN0702,142.22131,959.8455214,Residential,Tribeca,Tier 1: Global Icon
512,MN,1209,32,355 Central Park West,1012090032,355 Central Park West House,LP-01645,"Borough of Manhattan Tax Map Block 1209, Lot 35.",Designated,,11/10/1987,Individual Landmark,,107,6,40.7913775,-73.9651969,1018100,MN0702,146.3805959,1070.074264,Residential,Greenwich Village,Tier 1: Global Icon
500,MN,1030,58,240 Central Park South,1010300058,240 Central Park South Apartments,LP-02116,"Borough of Manhattan Tax Map Block 1030, Lot 58.",Designated,,6/25/2002,Individual Landmark,,105,6,40.7673099,-73.981177,1013700,MN0502,755.6222836,36837.27849,Residential,Greenwich Village,Tier 1: Global Icon
421,MN,835,41,350 Fifth Avenue,1008350041,Empire State Building,LP-02000,"Borough of Manhattan, Tax Map Block 835, Lot 41.",Designated,,5/19/1981,Individual Landmark,,105,4,40.7484514,-73.9857117,1007600,MN0501,1421.836454,97113.73184,Commercial,Greenwich Village,Tier 1: Global Icon
970,BX,3299,1,2988 Bainbridge Avenue,2032990001,Bedford Park Congregational Church,LP-02062,"Borough of Bronx Tax Map Block 3299, Lot 1.",Designated,,6/20/2000,Individual Landmark,,207,11,40.8712856,-73.8834321,2041500,BX0702,335.8308514,6501.241593,Religious,South Bronx,Tier 4: Neighborhood Staple
1534,SI,4475,300,3201 Amboy Road,5044750300,Frederick Douglass Memorial Park,LP-02682,"Borough of Staten Island Tax Map Block 4475, Lot 300",Designated,,6/18/2024,Individual Landmark,,503,50,40.5635644,-74.1348434,5014606,SI0302,3531.704427,692508.0575,Public/Civic,Tottenville,Tier 4: Neighborhood Staple
1392,QN,1549,1,86-02 Broadway,4015490001,Old Saint James Episcopal Church (Old Saint James Parish Hall),LP-02593,"Borough of Queens Tax Map Block 1549, Lot 1 in part",Designated,,9/19/2017,Individual Landmark,,404,25,40.7383417,-73.8778261,4047300,QN0401,326.9819422,6349.293894,Religious,Jamaica,Tier 4: Neighborhood Staple
1150,QN,1836,1,85-15 Broadway,4018360001,Reformed Dutch Church of Newtown and Fellowship Hall,LP-00138,"Borough of Queens Tax Map Block 1836, Lot 112.",Designated,,7/19/1966,Individual Landmark,,404,25,40.7392772,-73.8773841,4047100,QN0401,563.7885934,12687.94981,Religious,Long Island City,Tier 4: Neighborhood Staple
1528,BX,2772,170,"Oak Point Avenue, Drake Park South, Longfellow Avenue, and Hunts Point Avenue",1027720170,Joseph Rodman Drake Park and Enslaved People's Burial Ground,LP-02674,"Borough of the Bronx, Tax Map Block 2772, Lot 170.",Designated,,12/12/2023,Individual Landmark,,202,17,40.8102615,-73.8825311,2009302,BX0201,1411.023612,110191.5396,Public/Civic,Fordham,Tier 5: Ultra Niche / Insider Knowledge
1391,MN,0,0,"1047 Amsterdam Avenue (aka 1021-1061 Amsterdam Avenue and 419 West 110th Street [Cathedral Parkway]),",0,Cathedral Church of St. John the Divine and the Cathedral Close,LP-02585,Too long,Designated,,2/21/2017,Individual Landmark,,109,7,40.8033161,-73.9620265,1019701,MN0901,2912.845898,409260.7637,Religious,Hell's Kitchen,Tier 2: National Draw
1095,MN,0,0,Battery Park,1000030001,"Interborough Rapid Transit System, Battery Park Control House",LP-00829,"Borough of Manhattan, Tax Map Block 3, Lot 1 in part, consisting of the land on which the described improvement is situated.",Designated,,11/20/1973,Individual Landmark,,101,1,40.7028059,-74.015631,1031900,MN0191,138.2826992,990.6548147,Residential,Hell's Kitchen,Tier 5: Ultra Niche / Insider Knowledge
1087,BX,3120,20,"New York Zoological Park, south of East Fordham Road",2031200020,"Baird Court, New York Zoological Park",LP-01888,Too Long,Designated,now Astor Court,6/20/2000,Individual Landmark,,227,15,40.8499951,-73.8783005,2033400,BX2791,2919.409253,273578.2417,Public/Civic,Riverdale,Tier 2: National Draw
1085,BX,3120,20,"New York Zoological Park, park entrance at East Fordham Road",2031200020,"Paul J. Rainey Memorial Gates, New York Zoological Park",LP-00108,"Borough of the Bronx Tax Map Block 3120, Lot 20 in part, consisting of the land on which the described improvement is situated.",Designated,,1/11/1967,Individual Landmark,,227,15,40.8499951,-73.8783005,2033400,BX2791,138.6277162,571.3901863,Public/Civic,Fordham,Tier 2: National Draw
989,BK,1117,1,Prospect Park,3011170001,Boat House on the Lullwater of the Lake in Prospect Park,LP-00004,"Borough of Brooklyn Tax Map Block 1117 in part, consisting of the land on which the described building is situated.",Designated,"Lullwater, now Prospect Park Audubon Center",10/14/1965,Individual Landmark,,355,39,40.6613843,-73.9696332,3017700,BK5591,285.2125027,4112.307518,Residential,Park Slope,Tier 2: National Draw
837,BK,724,1,4201 4th Avenue,3007240001,Sunset Park Court House,LP-02096,"Borough of Brooklyn Tax Map 724, Lot 1.",Designated,,6/26/2001,Individual Landmark,,307,38,40.6504803,-74.0078995,3008200,BK0702,608.1303322,20423.72862,Residential,Brooklyn Heights,Tier 5: Ultra Niche / Insider Knowledge
490,MN,1217,1,165 West 86th Street,1012170001,West Park Presbyterian Church,LP-02338,"Borough of Manhattan Tax Map Block 1217, Lot 1",Designated,,1/12/2010,Individual Landmark,,107,6,40.7877267,-73.9745085,1017300,MN0702,473.1123039,11357.16961,Religious,Hell's Kitchen,Tier 4: Neighborhood Staple
453,MN,1402,30,163 East 67th Street,1014020030,Park East Synagogue,LP-01056,"Borough of Manhattan Tax Map Block 1402, Lot 30.",Designated,Congregation Zichron Ephraim,1/29/1980,Individual Landmark,,108,4,40.7669899,-73.9633794,1012000,MN0802,347.3797142,7310.531563,Religious,Greenwich Village,Tier 4: Neighborhood Staple
194,MN,392,5,151 Avenue B,1003920005,Charlie Parker Residence,LP-02032,"Borough of Manhattan Tax Map Block 392, Lot 5.",Designated,,5/18/1999,Individual Landmark,,103,2,40.726498,-73.9798644,1002800,MN0303,236.6544426,2266.413711,Residential,Hell's Kitchen,Tier 5: Ultra Niche / Insider Knowledge
1366,BK,2446,63,177-185 South 5th Street,3024460063,Williamsburgh Trust Company Building (Later Fifth District Magistrates' Court / Later Holy Trinity Cathedral),LP-00163,"Borough of Brooklyn Tax Map Block 2446, Lot 63",Designated,,8/10/2016,Individual Landmark,,301,34,40.7107383,-73.9611234,3052300,BK0102,340.2028622,7024.53664,Commercial,Williamsburg,Tier 4: Neighborhood Staple
1316,MN,1988,1,3320-3328 Broadway,1019880001,Claremont Theater Building,LP-02198,"Borough of Manhattan Tax Map Block 1988/1, in part, consisting of the property on which the 1913-14 structure is located.",Designated,,6/6/2006,Individual Landmark,,109,7,40.8195815,-73.9549684,1022301,MN0902,309.4250726,5780.587225,Commercial,Upper East Side,Tier 4: Neighborhood Staple
1305,MN,1010,25,109-113 West 57th Street,1010100025,Steinway Hall,LP-02100,"Borough of Manhattan Tax Map Block 1010, Lot 25.",Designated,,11/13/2001,Individual Landmark,,105,6,40.7649515,-73.9775713,1013700,MN0502,631.3176257,17515.96768,Other,Hell's Kitchen,Tier 3: Local Favorite / Regional Gem
1296,MN,2078,0,3560-3568 Broadway,0,Hamilton Theater,LP-02052,"Borough of Manhattan Tax Map Block Lot 2078, Lot 1 in part consisting of the land on which the described building and alleyway are situated.",Designated,,2/8/2000,Individual Landmark,,109,7,40.8269898,-73.9491134,1023300,MN0903,650.6413894,22646.98763,Other,Harlem,Tier 5: Ultra Niche / Insider Knowledge
1255,MN,1016,15,221-233 West 44th Street,1010160015,Shubert Theater,LP-01378,"Borough of Manhattan Tax Map Block 1016, Lot 15 in part consisting of the land on which the described building is situated.",Designated,,12/15/1987,Individual Landmark,,105,3,40.7582338,-73.9871679,1011900,MN0502,440.441578,12186.94734,Other,Hell's Kitchen,Tier 5: Ultra Niche / Insider Knowledge
1254,MN,995,33,124-130 West 43rd Street,1009950033,Henry Miller's Theater,LP-01357,"Borough of Manhattan Tax Map Block 995, Lot 45.",Designated,,12/8/1987,Individual Landmark,,105,4,40.7555629,-73.9847139,1011900,MN0502,371.6205344,8569.965961,Other,Harlem,Tier 5: Ultra Niche / Insider Knowledge
1253,MN,997,10,139-141 West 44th Street,1009970010,Hudson Theater,LP-01340,"Borough of Manhattan Tax Map Block 997, Lot 15.",Designated,,11/17/1987,Individual Landmark,,105,4,40.7571548,-73.984645,1011900,MN0502,575.1709105,12916.38507,Other,Harlem,Tier 5: Ultra Niche / Insider Knowledge
1252,MN,1016,15,222-232 West 45th Street,1010160015,Booth Theater,LP-01321,"Borough of Manhattan Tax Map Block 1016, Lot 15 in part consisting of the land on which the described building is situated.",Designated,,11/4/1987,Individual Landmark,,105,3,40.7582338,-73.9871679,1011900,MN0502,403.5334472,10041.45842,Other,Harlem,Tier 5: Ultra Niche / Insider Knowledge
1158,BK,5103,10,in the courtyard of Erasmus Hall High School,3051030010,Erasmus Hall Academy,LP-00171,"Borough of Brooklyn Tax Map Block 5103, Lot 10 in part, consisting of the land on which the described building is situated.",Designated,designated as Erasmus Hall Museum,3/15/1966,Individual Landmark,,314,40,40.649597,-73.9571661,3079400,BK1701,299.0208435,4096.278423,Other,DUMBO,Tier 5: Ultra Niche / Insider Knowledge
1154,BK,2292,1,Driggs Avenue at North 12th Street,3022920001,Russian Orthodox Cathedral of the Transfiguration of Our Lord,LP-00162,"Borough of Brooklyn Tax Map Block 2292, Lot 6.",Designated,,11/19/1969,Individual Landmark,,301,33,40.7193787,-73.953539,3051900,BK0102,356.8412401,7780.783554,Other,Park Slope,Tier 5: Ultra Niche / Insider Knowledge
1151,BK,0,0,209 Joralemon Street,0,Brooklyn City Hall,LP-00147,"Borough of Brooklyn Tax Map Block 139, Lot 1 in part, consisting of the land on which the described building is situated.",Designated,now Brooklyn Borough Hall,4/19/1966,Individual Landmark,,302,33,40.69365,-73.9899714,3001100,BK0202,577.1790042,16756.3364,Other,Park Slope,Tier 2: National Draw
1129,MN,15,7501,17 Battery Place,1000157501,Whitehall Building,LP-02056,"Borough of Manhattan Tax Map Block 15, Lot 7501, in part, consisting of the land on which 17 Battery Place (aka 1-17 West Street) is situated.",Designated,,10/17/2000,Individual Landmark,,101,1,40.7056,-74.0158373,1001300,MN0101,1082.582275,36017.52536,Commercial,Upper East Side,Tier 4: Neighborhood Staple
1122,BK,1183,1,1000 Washington Avenue,3011830001,"Laboratory Administration Building, Brooklyn Botanic Garden",LP-02214,"Borough of Brooklyn Tax Map Block 1183, Lot 1, in part consisting of the land on which the described building is situated.",Designated,,3/13/2007,Individual Landmark,,355,35,40.667671,-73.9639025,3017700,BK5591,755.5062623,18097.22698,Commercial,Brooklyn Heights,Tier 2: National Draw
1034,MN,340,1,130 Pitt Street,1003400001,Hamilton Fish Park Play Center,LP-01264,"Borough of Manhattan Tax Map Block 340, Lot 1 in part, consisting of the land on which the described building is situated.",Designated,,12/21/1982,Individual Landmark,,103,2,40.7197351,-73.9808513,1002201,MN0302,396.6793618,5787.929957,Commercial,Greenwich Village,Tier 4: Neighborhood Staple
909,BK,5103,93,35 Snyder Avenue,3051030093,Flatbush Town Hall,LP-00770,"Borough of Brooklyn Tax Map Block 5103, Lot 93.",Designated,,10/16/1973,Individual Landmark,,314,40,40.6489464,-73.9569323,3079400,BK1701,698.5342856,29939.29619,Other,DUMBO,Tier 5: Ultra Niche / Insider Knowledge
861,BK,7064,16,1301 Surf Avenue,3070640016,Coney Island Theater Building,LP-02408,"Borough of Brooklyn Tax map Block 7064, Lot 16.",Designated,later Shore Theater,12/14/2010,Individual Landmark,,313,47,40.5759552,-73.9816881,3034800,BK1302,609.9531672,21188.14446,Commercial,Williamsburg,Tier 1: Global Icon
772,MN,1831,33,"1910 Adam Clayton Powell, Jr. Boulevard",1018310033,Regent Theater,LP-01841,"Borough of Manhattan Tax Map Block 1831, Lot 33.",Designated,now First Corinthian Baptist Church,3/8/1994,Individual Landmark,,110,9,40.8031756,-73.953159,1021800,MN1001,492.6112674,14784.56979,Other,Harlem,Tier 5: Ultra Niche / Insider Knowledge
725,MN,509,1,Mott Street at Prince Street,1005090001,Saint Patrick's Old Cathedral,LP-00187,"Borough of Manhattan Tax Map Block 509, Lot 1.",Designated,,6/21/1966,Individual Landmark,,102,1,40.7236588,-73.9951115,1004300,MN0201,1113.759709,60506.215,Other,Greenwich Village,Tier 5: Ultra Niche / Insider Knowledge
712,MN,1019,12,243-251 West 47th Street,1010190012,Barrymore Theater,LP-01313,"Borough of Manhattan Tax Map Block 1019, lot 12.",Designated,,11/4/1987,Individual Landmark,,105,3,40.7601001,-73.9861568,1012500,MN0502,406.4971337,10318.89772,Other,Harlem,Tier 5: Ultra Niche / Insider Knowledge
609,MN,1024,7,243-259 West 52nd Street,1010240007,Guild Theater,LP-01309,"Borough of Manahttan Tax Map Block 1024, Lot 7.",Designated,"later the ANTA Theater, now the Virginia Theater",8/6/1985,Individual Landmark,,105,3,40.7633689,-73.9841995,1013100,MN0502,475.4304505,14001.70024,Other,Tribeca,Tier 5: Ultra Niche / Insider Knowledge
594,MN,467,31,189 Second Avenue,1004670031,Louis N. Jaffe Art Theater (Yiddish Art Theater/Yiddish Folks Theater),LP-01764,"Borough of Manhattan Tax Map Block 467, Lot 31.",Designated,now Village East City Cinemas,2/9/1993,Individual Landmark,,103,2,40.7309701,-73.9863937,1004002,MN0303,445.5551965,12369.36388,Other,Hell's Kitchen,Tier 5: Ultra Niche / Insider Knowledge
571,MN,1286,1,Fifth Avenue between East 50th and 51st Street,1012860001,Saint Patrick's Cathedral Complex,LP-00267,"Borough of Manhattan Tax Map Block 1286, Lot 1.",Designated,,10/19/1966,Individual Landmark,,105,4,40.7585038,-73.9761585,1010200,MN0502,1260.745617,87605.26275,Other,Hell's Kitchen,Tier 5: Ultra Niche / Insider Knowledge
557,MN,1603,11,15 East 97th Street,1016030011,Saint Nicholas Russian Orthodox Cathedral,LP-00834,"Borough of Manhattan Tax Map Block 1603, Lot 11.",Designated,,12/18/1973,Individual Landmark,,111,8,40.7883215,-73.9540795,1016002,MN1101,356.8446266,7748.927547,Other,Hell's Kitchen,Tier 5: Ultra Niche / Insider Knowledge
525,MN,1448,16,321 East 73rd Street,1014480016,Bohemian National Hall,LP-01914,"Borough of Manhattan Tax Map Block 1448, Lot 16.",Designated,(Národní Budova),7/19/1994,Individual Landmark,,108,5,40.7691257,-73.9564249,1012601,MN0801,362.6323022,7949.672191,Other,Greenwich Village,Tier 5: Ultra Niche / Insider Knowledge
496,MN,1871,22,2624-2626 Broadway,1018710022,Midtown Theater,LP-01710,"Borough of Manhattan Tax Map Block 1871, Lot 22.",Designated,later the Metro Theater,7/11/1989,Individual Landmark,,107,7,40.7966816,-73.9698027,1018700,MN0703,316.6833607,5519.475813,Other,Upper East Side,Tier 5: Ultra Niche / Insider Knowledge
482,MN,235,13,165-171 Grand Street,1002350013,Odd Fellows Hall,LP-01293,"Borough of Manhattan Tax Map Block 235, Lot 13.",Designated,,8/24/1982,Individual Landmark,,102,1,40.7194759,-73.9984307,1004100,MN0201,392.5372747,8715.606071,Other,Upper East Side,Tier 5: Ultra Niche / Insider Knowledge
467,MN,1015,54,246-256 West 44th Street,1010150054,Erlanger Theater,LP-01374,"Borough of Manhattan Tax Map Block 1015, Lot 54.",Designated,now the Saint James Theater,12/15/1987,Individual Landmark,,105,3,40.7579951,-73.9881569,1011900,MN0502,456.836407,12884.60056,Other,Hell's Kitchen,Tier 5: Ultra Niche / Insider Knowledge
465,MN,1000,49,138-146 West 48th Street,1010000049,Cort Theater,LP-01328,"Borough of Manhattan Tax Map Block 1000, Lot 49.",Designated,,11/17/1987,Individual Landmark,,105,4,40.7591336,-73.9830996,1012500,MN0502,391.3812626,9565.091407,Other,Hell's Kitchen,Tier 5: Ultra Niche / Insider Knowledge
464,MN,872,78,100-102 East 17th Street,1008720078,Tammany Hall,LP-02490,"Borough of Manhattan Tax Map Block 872, Lot 78",Designated,,10/29/2013,Individual Landmark,,105,2,40.7362376,-73.988749,1005000,MN0602,496.9968209,13370.00449,Other,Greenwich Village,Tier 5: Ultra Niche / Insider Knowledge
445,MN,873,34,190 Third Avenue,1008730034,Scheffel Hall,LP-01959,"Borough of Manhattan Tax Map Block 873, Lot 34.",Designated,,6/24/1997,Individual Landmark,,106,2,40.735488,-73.9859887,1005000,MN0602,251.6041572,2375.193977,Other,Tribeca,Tier 5: Ultra Niche / Insider Knowledge
435,MN,1023,11,217-239 West 51st Street,1010230011,Hollywood Theater,LP-01338,"Borough of Manhattan Tax Map Block 1023, Lot 11.",Designated,"later the Mark Hellinger Theater, now Times Square Church",1/5/1988,Individual Landmark,,105,3,40.7626333,-73.9843405,1013100,MN0502,857.1531779,24369.9948,Other,Harlem,Tier 1: Global Icon
403,MN,1016,51,236 West 45th Street,1010160051,Plymouth Theater,LP-01368,"Borough of Manhattan Tax Map Block 1016, Lot 51.",Designated,now the Gerard Schoenfeld Theater,12/8/1987,Individual Landmark,,105,3,40.7585056,-73.9874277,1011900,MN0502,401.6762414,10074.56124,Other,Harlem,Tier 5: Ultra Niche / Insider Knowledge
379,MN,998,8,149-157 West 45th Street,1009980008,Lyceum Theater,LP-00803,"Borough of Manhattan Tax Map Block 998, Lot 8.",Designated,,11/26/1974,Individual Landmark,,105,4,40.7578191,-73.9845185,1011900,MN0502,589.4661559,10323.54475,Other,Harlem,Tier 5: Ultra Niche / Insider Knowledge
376,MN,1017,11,239-247 West 45th Street,1010170011,Music Box Theater,LP-01359,"Borough of Manhattan Tax Map Block 1017, Lot 11.",Designated,,12/8/1987,Individual Landmark,,105,3,40.7588843,-73.9871425,1011900,MN0502,403.0691948,10152.14862,Other,Upper East Side,Tier 5: Ultra Niche / Insider Knowledge
370,MN,1017,48,223-236 West 46th Street,1010170048,Forty-Sixth Street Theater,LP-01333,"Borough of Manhattan Tax Map Block 1017, Lot 48.",Designated,now the Richard Rodgers Theater,11/17/1987,Individual Landmark,,105,3,40.759038,-73.9867454,1011900,MN0502,437.7028446,11925.48615,Other,Hell's Kitchen,Tier 5: Ultra Niche / Insider Knowledge
354,MN,124,10,23 Park Place,1001240010,23 Park Place Building,LP-02217,"Borough of Manhattan, Tax Map Block 124, Lot 10.",Designated,,3/13/2007,Individual Landmark,,101,1,40.713352,-74.0086284,1002100,MN0102,381.0206727,4736.229827,Commercial,Tribeca,Tier 4: Neighborhood Staple
344,MN,90,7501,15 Park Row,1000907501,Park Row Building,LP-02024,"Borough of Manhattan Tax Map Block 90, Lot 4.",Designated,,6/15/1999,Individual Landmark,,101,1,40.7111727,-74.0077912,1001501,MN0101,619.1210783,15288.47324,Commercial,Harlem,Tier 4: Neighborhood Staple
341,MN,556,68,119-125 East 11th Street,1005560068,Webster Hall and Annex,LP-02273,"Borough of Manhattan Tax Map Block 556, Lot 68.",Designated,,3/18/2008,Individual Landmark,,103,2,40.7317719,-73.9890961,1004200,MN0303,380.2176192,9007.837518,Other,Hell's Kitchen,Tier 5: Ultra Niche / Insider Knowledge
339,MN,1016,58,252-256 West 45th Street,1010160058,Theater Masque,LP-01335,"Borough of Manhattan Tax Map Block 1016, Lot 58.",Designated,now the Golden Theater,11/17/1987,Individual Landmark,,105,3,40.7587197,-73.9879763,1011900,MN0502,345.5017348,6196.335427,Other,Greenwich Village,Tier 5: Ultra Niche / Insider Knowledge
322,MN,51,13,86 Trinity Place,1000510013,"New York Curb Exchange, incorporating the New York Curb Market Building",LP-02515,"Borough of Manhattan Tax Map Block 51, Lot 13",Designated,later known as the American Stock Exchange,6/26/2012,Individual Landmark,,101,1,40.7087569,-74.0128298,1001300,MN0101,693.5315846,27182.21483,Commercial,Greenwich Village,Tier 4: Neighborhood Staple
318,MN,1013,39,214 West 42nd Street,1010130039,New Amsterdam Theater,LP-01026,"Borough of Manhattan Tax Map Block 1013, Lot 39.",Designated,,10/23/1979,Individual Landmark,,105,3,40.7559201,-73.9880454,1011300,MN0502,720.4600573,18201.56456,Other,Tribeca,Tier 5: Ultra Niche / Insider Knowledge
311,MN,1016,5,245-257 West 44th Street,1010160005,Majestic Theater,LP-01355,"Borough of Manhattan Tax Map Block 1016, Lot 5.",Designated,,12/8/1987,Individual Landmark,,105,3,40.7584178,-73.9880125,1011900,MN0502,485.9687357,13909.33846,Other,Upper East Side,Tier 5: Ultra Niche / Insider Knowledge
301,MN,1018,57,256-262 West 47th Street,1010180057,Mansfield Theater,LP-01311,"Borough of Manhattan Tax Map Block 1018, Lot 57.",Designated,now the Brooks Atkinson Theater,11/4/1987,Individual Landmark,,105,3,40.7599548,-73.9869834,1012500,MN0502,407.5241721,10355.32755,Other,Harlem,Tier 5: Ultra Niche / Insider Knowledge
299,MN,122,1,City Hall Park,1001220001,City Hall,LP-00080,"Borough of Manhattan Tax Map Block 122, Lot 1.",Designated,,2/1/1966,Individual Landmark,,101,1,40.7128032,-74.0061574,1003100,MN0102,2679.765811,410762.8491,Other,Greenwich Village,Tier 2: National Draw
245,MN,1016,11,235-243 West 44th Street,1010160011,Broadhurst Theater,LP-01323,"Borough of Manhattan Tax Map Block 1016, Lot 11.",Designated,,11/10/1987,Individual Landmark,,105,3,40.7582613,-73.9876263,1011900,MN0502,423.8864594,11226.81716,Other,Upper East Side,Tier 5: Ultra Niche / Insider Knowledge
242,MN,1016,55,242-250 West 45th Street,1010160055,Royale Theater,LP-01372,"Borough of Manhattan Tax Map Block 1016, Lot 55.",Designated,now the Bernard B. Jacobs Theater,12/15/1987,Individual Landmark,,105,3,40.7586291,-73.9877309,1011900,MN0502,389.7936999,9787.234636,Other,Harlem,Tier 5: Ultra Niche / Insider Knowledge
227,MN,1023,54,244-254 West 52nd Street,1010230054,Alvin Theater,LP-01305,"Borough of Manhattan Tax Map Block 1023, Lot 54.",Designated,now the Neil Simon Theater,8/6/1985,Individual Landmark,,105,3,40.7630149,-73.9845281,1013100,MN0502,454.9704248,12798.89771,Other,Harlem,Tier 5: Ultra Niche / Insider Knowledge
221,MN,997,23,111-121 West 44th Street,1009970023,Belasco's Stuyvesant Theater,LP-01317,"Borough of Manhattan Tax Map Block 997, Lot 23.",Designated,now the Belasco Theater,11/4/1987,Individual Landmark,,105,4,40.7566497,-73.9837896,1011900,MN0502,476.0493561,13910.358,Other,Greenwich Village,Tier 5: Ultra Niche / Insider Knowledge
220,MN,862,29,2 Park Avenue,1008620029,2 Park Avenue Building,LP-02186,"Borough of Manhattan Tax Map Block 862, Lot 29.",Designated,,4/18/2006,Individual Landmark,,105,4,40.746332,-73.9826012,1007400,MN0501,833.5328982,43422.76359,Commercial,Hell's Kitchen,Tier 4: Neighborhood Staple
187,MN,541,18,51-54 Washington Square South,1005410018,Judson Hall,LP-00230,"Borough of Manhattan Tax Map Block 541, Lot 18.",Designated,,5/17/1966,Individual Landmark,,102,2,40.7303287,-73.9986975,1006500,MN0202,432.5872574,10718.19023,Other,Greenwich Village,Tier 5: Ultra Niche / Insider Knowledge
177,MN,1018,20,203-217 West 46th Street,1010180020,Globe Theater,LP-01350,"Borough of Manhattan Tax Map Block 1018, Lot 20.",Designated,now the Lunt-Fontanne Theater,12/8/1987,Individual Landmark,,105,3,40.7591779,-73.9859187,1012500,MN0502,483.0025806,14247.9164,Other,Tribeca,Tier 5: Ultra Niche / Insider Knowledge
174,MN,1015,51,238 West 44th Street,1010150051,Little Theater,LP-01346,"Borough of Manhattan Tax Map Block 1015, Lot 51.",Designated,now the Helen Hayes Theater,11/17/1987,Individual Landmark,,105,3,40.7578606,-73.9878393,1011900,MN0502,355.9667036,7759.862187,Other,Greenwich Village,Tier 5: Ultra Niche / Insider Knowledge
172,MN,1035,37,302-314 West 45th Street,1010350037,Martin Beck Theater,LP-01315,"Borough of Manhattan Tax Map Block 1035, Lot 37.",Designated,now the Al Hirschfeld Theater,11/4/1987,Individual Landmark,,104,3,40.7592578,-73.9892143,1012101,MN0402,471.1597637,13626.20142,Other,Tribeca,Tier 5: Ultra Niche / Insider Knowledge
166,MN,124,11,25 Park Place,1001240011,25 Park Place Building,LP-02223,"Borough of Manhattan, Tax Map Block 124, Lot 11.",Designated,,3/13/2007,Individual Landmark,,101,1,40.713385,-74.0087402,1002100,MN0102,396.8658254,5552.070085,Commercial,Upper East Side,Tier 4: Neighborhood Staple
156,MN,1019,50,220-228 West 48th Street,1010190050,Longacre Theater,LP-01348,"Borough of Manhattan Tax Map Block 1019, Lot 50.",Designated,,12/8/1987,Individual Landmark,,105,3,40.7603471,-73.9859726,1012500,MN0502,403.6125978,10176.54791,Other,Tribeca,Tier 5: Ultra Niche / Insider Knowledge
153,MN,153,24,31 Chambers Street,1001530024,Hall of Records,LP-00082,"Borough of Manhattan Tax Map Block 153, Lot 24.",Designated,now Surrogate's Court-Hall of Records,2/15/1966,Individual Landmark,,101,1,40.7135938,-74.0042421,1003100,MN0102,708.0341128,31027.18207,Other,Greenwich Village,Tier 2: National Draw
